carrier_code,flight_date,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_minutes,actual_elapsed_minutes,departure_delay_minutes,wheels_off_time,taxi_out_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,is_cancelled
WN,2022-07-10,2867.0,N8543Z,ATL,MIA,10:10,10:03,120.0,127.0,-7.0,10:29,26.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-06-29,2064.0,N929WN,ATL,MSY,11:00,10:54,90.0,80.0,-6.0,11:20,26.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-11-07,3318.0,N8518R,ATL,LGA,15:55,17:20,130.0,132.0,85.0,17:41,21.0,0.0,0.0,83.0,0.0,4.0,0
WN,2022-04-03,512.0,N7818L,ATL,HOU,16:00,16:30,135.0,119.0,30.0,16:42,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-11-13,914.0,N7824A,ATL,MCO,17:50,18:00,90.0,87.0,10.0,18:18,18.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-06-15,1325.0,N8504G,ATL,DAL,20:00,21:30,130.0,144.0,90.0,21:51,21.0,5.0,0.0,14.0,0.0,85.0,0
WN,2022-12-19,1296.0,N8610A,ATL,DEN,07:00,07:06,210.0,201.0,6.0,07:18,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-11-01,513.0,N8631A,ATL,LGA,06:10,06:07,130.0,113.0,-3.0,06:15,8.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-10-13,478.0,N8785L,ATL,SDF,08:30,08:33,80.0,75.0,3.0,08:50,17.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-02-03,3167.0,N8747Q,ATL,BWI,09:30,09:41,105.0,105.0,11.0,09:59,18.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-07-30,3615.0,N570WN,ATL,MDW,12:05,12:06,115.0,100.0,1.0,12:17,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-05-05,2902.0,N8570W,ATL,JAN,14:35,14:33,75.0,71.0,-2.0,14:40,7.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-12-14,2019.0,N8682B,ATL,AUS,16:05,16:06,150.0,134.0,1.0,16:14,8.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-03-02,379.0,N8668A,ATL,OMA,21:30,21:23,155.0,144.0,-7.0,21:39,16.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-11-09,850.0,N7727A,ATL,MCO,06:55,06:55,85.0,94.0,0.0,07:20,25.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-03-14,470.0,N8690A,ATL,FLL,15:50,15:47,110.0,101.0,-3.0,15:57,10.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-03-28,1774.0,N7812G,ATL,JAN,20:35,21:42,85.0,77.0,67.0,21:59,17.0,59.0,0.0,0.0,0.0,0.0,0
WN,2024-03-10,400.0,N937WN,ATL,FLL,22:50,00:16,110.0,103.0,86.0,00:27,11.0,0.0,0.0,0.0,0.0,79.0,0
WN,2023-06-07,160.0,N285WN,ATL,RIC,15:00,15:54,90.0,88.0,54.0,16:05,11.0,0.0,0.0,0.0,0.0,52.0,0
WN,2023-09-06,3592.0,N237WN,ATL,MKE,19:15,19:06,120.0,104.0,-9.0,19:14,8.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-02-05,1131.0,N8676A,ATL,DEN,06:55,06:51,205.0,183.0,-4.0,07:02,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-09-01,1289.0,N7823A,ATL,MYR,22:10,22:45,75.0,77.0,35.0,23:06,21.0,33.0,0.0,2.0,0.0,2.0,0
